relative_path,filename,source_family,file_size,sha256,sheet_count,encrypted,has_drawings,has_hyperlinks,merged_cell_count,hyperlink_formula_count
TECH\2820-DOCUMENT REGISTER.xlsx,2820-DOCUMENT REGISTER.xlsx,TECH,219479,9a7119512aa88c1f2acfa00c554b11ad27c372328cbffc2b349b576ecaf80ccd,7,False,True,False,128,0
TECH\2913-DOCUMENT REGISTER.xlsx,2913-DOCUMENT REGISTER.xlsx,TECH,197410,24ba03d4abd5f23da1c00b62fa96761ada7617603a13091307f20aaa61af9894,5,False,True,False,133,0
TECH\3249 DOCUMENT REGISTER-UPDATED.xlsx,3249 DOCUMENT REGISTER-UPDATED.xlsx,TECH,68055,f834f3a357f7e0f6eea2dabc7174b0806108fa2a637ab38594be354e2fd5a19a,3,False,True,False,121,0
TECH\3262 DOCUMENT REGISTER.xlsx,3262 DOCUMENT REGISTER.xlsx,TECH,181359,fff3dc40b232442216ce49e20172014f4f075c566412d6971d023e7141118911,6,False,True,False,66,0
TECH\3278 DOCUMENT REGISTER.xlsx,3278 DOCUMENT REGISTER.xlsx,TECH,202934,c70f47b59fb5d65ba608b3c4755b2151bea9cc7a493bba43bc71aa0d9a1caa31,7,False,True,False,113,0
TECH\3291 DOCUMENT REGISTER Latest.xlsx,3291 DOCUMENT REGISTER Latest.xlsx,TECH,360843,0603da690bc8fcd9bb2355dc36347aa782cb93742641eeb307a05e252f5e4aa9,4,False,True,False,681,0
TECH\3291 DOCUMENT REGISTER revised.XLSX,3291 DOCUMENT REGISTER revised.XLSX,TECH,193694,ef6f927b98eb542c53c45c15ee3c82b7c5583ba816cfc4680ec8ca737166ce3b,3,False,True,False,79,0
TECH\3291 DOCUMENT REGISTER.xlsx,3291 DOCUMENT REGISTER.xlsx,TECH,193694,ef6f927b98eb542c53c45c15ee3c82b7c5583ba816cfc4680ec8ca737166ce3b,3,False,True,False,79,0
TECH\4232 DOCUMENT REGISTER-UPDATED.xlsx,4232 DOCUMENT REGISTER-UPDATED.xlsx,TECH,112570,402b7492300b0ba29f43a29a66400b5f7a308f6c235a81bf300ee7052723c581,4,False,True,False,353,0
TECH\6214 DOCUMENT REGISTER-UPDATED.xlsx,6214 DOCUMENT REGISTER-UPDATED.xlsx,TECH,88789,e29589e14066f9bc0723313b60160357037b1589da3a585d792fb61d413bd212,3,False,True,False,320,0
TECH\7243 DOCUMENT REGISTER.xlsx,7243 DOCUMENT REGISTER.xlsx,TECH,61033,9e9be5a2e640ea2a969764281aac50fc8dd9a0afc35b778b0d9c29fcd2752569,3,False,True,False,133,0
TECH\7279-OS Document register.xlsx,7279-OS Document register.xlsx,TECH,36553,565c9bd092ffc773ec73bb0c41a4d8f5a330ba30440078701d08b4ceef735f10,1,False,True,False,46,0
TECH\8241 DOCUMENT REGISTER.xlsx,8241 DOCUMENT REGISTER.xlsx,TECH,35181,2e54736b133cc0daa0de904ab37bd11aec878ed57f1188c4e616bebcaf0be339,1,False,True,False,26,0
